"idVotacao";"uriVotacao";"dataHoraVoto";"voto";"deputado_id";"deputado_uri";"deputado_nome";"deputado_siglaPartido";"deputado_uriPartido";"deputado_siglaUf";"deputado_idLegislatura";"deputado_urlFoto"
"2563330-59";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2563330-59";"2026-03-17T23:11:38";"Obstrução";"221328";"https://dadosabertos.camara.leg.br/api/v2/deputados/221328";"Adilson Barroso";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/221328.jpg"
"2563330-59";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2563330-59";"2026-03-17T23:11:58";"Não";"204560";"https://dadosabertos.camara.leg.br/api/v2/deputados/204560";"Adolfo Viana";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"BA";"57";"https://www.camara.leg.br/internet/deputado/bandep/204560.jpg"
"2563330-59";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2563330-59";"2026-03-17T23:18:29";"Sim";"204528";"https://dadosabertos.camara.leg.br/api/v2/deputados/204528";"Adriana Ventura";"NOVO";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/204528.jpg"
"2563330-59";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2563330-59";"2026-03-17T23:11:31";"Não";"121948";"https://dadosabertos.camara.leg.br/api/v2/deputados/121948";"Adriano do Baldy";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"GO";"57";"https://www.camara.leg.br/internet/deputado/bandep/121948.jpg"
"2563330-59";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2563330-59";"2026-03-17T23:11:45";"Não";"74646";"https://dadosabertos.camara.leg.br/api/v2/deputados/74646";"Aécio Neves";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"MG";"57";"https://www.camara.leg.br/internet/deputado/bandep/74646.jpg"
"2563330-59";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2563330-59";"2026-03-17T23:12:22";"Não";"178835";"https://dadosabertos.camara.leg.br/api/v2/deputados/178835";"Afonso Motta";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"RS";"57";"https://www.camara.leg.br/internet/deputado/bandep/178835.jpg"
"2563330-59";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2563330-59";"2026-03-17T23:12:39";"Não";"204495";"https://dadosabertos.camara.leg.br/api/v2/deputados/204495";"Airton Faleiro";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"PA";"57";"https://www.camara.leg.br/internet/deputado/bandep/204495.jpg"
"2563330-59";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2563330-59";"2026-03-17T23:12:21";"Não";"204549";"https://dadosabertos.camara.leg.br/api/v2/deputados/204549";"AJ Albuquerque";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"CE";"57";"https://www.camara.leg.br/internet/deputado/bandep/204549.jpg"
"2563330-59";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2563330-59";"2026-03-17T23:15:55";"Sim";"73579";"https://dadosabertos.camara.leg.br/api/v2/deputados/73579";"Alberto Fraga";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"DF";"57";"https://www.camara.leg.br/internet/deputado/bandep/73579.jpg"
"2563330-59";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2563330-59";"2026-03-17T23:16:38";"Não";"220538";"https://dadosabertos.camara.leg.br/api/v2/deputados/220538";"Albuquerque";"REPUBLICANOS";"https://dadosabertos.camara.leg.br/api/v2/partidos/37908";"RR";"57";"https://www.camara.leg.br/internet/deputado/bandep/220538.jpg"
"2563330-59";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2563330-59";"2026-03-17T23:13:51";"Sim";"160559";"https://dadosabertos.camara.leg.br/api/v2/deputados/160559";"Alceu Moreira";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899";"RS";"57";"https://www.camara.leg.br/internet/deputado/bandep/160559.jpg"
"2563330-59";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2563330-59";"2026-03-17T23:12:56";"Não";"204571";"https://dadosabertos.camara.leg.br/api/v2/deputados/204571";"Alex Santana";"REPUBLICANOS";"https://dadosabertos.camara.leg.br/api/v2/partidos/37908";"BA";"57";"https://www.camara.leg.br/internet/deputado/bandep/204571.jpg"
"2563330-59";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2563330-59";"2026-03-17T23:17:40";"Sim";"220542";"https://dadosabertos.camara.leg.br/api/v2/deputados/220542";"Alexandre Guimarães";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899";"TO";"57";"https://www.camara.leg.br/internet/deputado/bandep/220542.jpg"
"2563330-59";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2563330-59";"2026-03-17T23:14:21";"Não";"160545";"https://dadosabertos.camara.leg.br/api/v2/deputados/160545";"Alexandre Leite";"UNIÃO";"https://dadosabertos.camara.leg.br/api/v2/partidos/38009";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/160545.jpg"
"2563330-59";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2563330-59";"2026-03-17T23:11:23";"Não";"220554";"https://dadosabertos.camara.leg.br/api/v2/deputados/220554";"Alexandre Lindenmeyer";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"RS";"57";"https://www.camara.leg.br/internet/deputado/bandep/220554.jpg"
"2563330-59";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2563330-59";"2026-03-17T23:12:22";"Não";"221148";"https://dadosabertos.camara.leg.br/api/v2/deputados/221148";"Alfredinho";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"SP";"57";"https://www.camara.leg.br/internet/deputado/bandep/221148.jpg"
